Deadline,Date Posted,Company,Title,Link,Location,Education,Duration,Salary (Minimum),Focus
2/11/2026,1/21/2026,Pew Research Center,"Undergraduate Intern, Short Reads (Data Journalism)",https://pewtrusts.wd5.myworkdayjobs.com/en-US/CenterInternships/job/Washington-DC-Pew-Research-Center/Undergraduate-Intern--Short-Reads--Data-Journalism---Pew-Research-Center-Summer-2026_R003062?source=LinkedIn,"Washington, DC",Junior,Summer,$18.50,Research
2/11/2026,1/21/2026,Pew Research Center,"Undergraduate Intern, Social & Demographic Trends",https://pewtrusts.wd5.myworkdayjobs.com/en-US/CenterInternships/job/Washington-DC-Pew-Research-Center/Undergraduate-Intern--Social---Demographic-Trends--Pew-Research-Center-Summer-2026_R003063?source=LinkedIn,"Washington, DC",Junior,Summer,$18.50,Demographics
2/11/2026,1/21/2026,Pew Research Center,"Undergraduate Intern, U. S. Politics",https://pewtrusts.wd5.myworkdayjobs.com/en-US/CenterInternships/job/Washington-DC-Pew-Research-Center/Undergraduate-Intern--U-S-Politics--Pew-Research-Center-Summer-2026_R003056?source=LinkedIn,"Washington, DC",Junior,Summer,$18.50,US Politics
2/11/2026,1/21/2026,Pew Research Center,Undergraduate Intern in Survey Design,https://pewtrusts.wd5.myworkdayjobs.com/en-US/CenterInternships/job/Washington-DC-Pew-Research-Center/Undergraduate-Intern-in-Survey-Design--Pew-Research-Center-Summer-2026_R003053?source=LinkedIn,"Washington, DC",Junior,Summer,$18.50,Research
2/13/2026,1/14/2026,Southern Poverty Law Center,"Intern, Policy Research",https://job-boards.greenhouse.io/southernpovertylawcenter/jobs/8369676002,Various,Graduate/Law,Summer,$17.95,Civil Rights
1/30/2026,1/14/2026,Aspen Institute,Summer Internship Program,https://aspeninstitute.hrmdirect.com/employment/job-opening.php?req=3607657&req_loc=1180984&/employment/job-opening.php?req=3607657&req_loc=1180984&,"Washington, DC",Undergraduate,Summer,,Various
,12/21/2025,Natural Resources Defense Council (NRDC),Summer 2026 Henry Henderson Fellow,https://careers-nrdc.icims.com/jobs/5882/summer-2026-henry-henderson-fellow/job,"Washington, DC",Graduate/Law,Summer,"$10,000",Environment
,12/21/2025,Natural Resources Defense Council (NRDC),Summer 2026 Global Forest Policy Intern,https://careers-nrdc.icims.com/jobs/5884/summer-2026-global-forest-policy-intern/job,"Washington, DC",Graduate/Law,Summer,"$10,000",Environment
,12/21/2025,Natural Resources Defense Council (NRDC),Summer 2026 Freshwater Ecosystems Policy Intern,https://careers-nrdc.icims.com/jobs/5880/summer-2026-freshwater-ecosystems-policy-intern/job,"Washington, DC",Graduate/Law,Summer,"$10,000",Environment
2/6/2026,12/15/2025,Houston Endowment,Summer Intern,https://recruiting.paylocity.com/Recruiting/Jobs/Details/3777661,"Houston, TX",Graduate/Law,Summer,,Local
